pos val
0.188452 490.936
0.188686 490.56
0.188921 490.185
0.189155 489.808
0.18939 489.432
0.189624 489.054
0.189858 488.677
0.190093 488.299
0.190327 487.921
0.190562 487.542
0.190796 487.164
0.19103 486.784
0.191265 486.405
0.191499 486.025
0.191734 485.645
0.191968 485.264
0.192202 484.884
0.192437 484.502
0.192671 484.121
0.192906 483.739
0.19314 483.357
0.193374 482.975
0.193609 482.593
0.193843 482.21
0.194078 481.827
0.194312 481.443
0.194546 481.06
0.194781 480.676
0.195015 480.292
0.195249 479.907
0.195484 479.523
0.195718 479.138
0.195953 478.753
0.196187 478.367
0.196421 477.982
0.196656 477.596
0.19689 477.21
0.197125 476.824
0.197359 476.437
0.197593 476.051
0.197828 475.664
0.198062 475.278
0.198297 474.891
0.198531 474.504
0.198765 474.116
0.199 473.729
0.199234 473.341
0.199469 472.953
0.199703 472.565
0.199937 472.177
0.200172 471.789
0.200406 471.401
0.200641 471.012
0.200875 470.624
0.201109 470.235
0.201344 469.846
0.201578 469.457
0.201812 469.068
0.202047 468.678
0.202281 468.289
0.202516 467.9
0.20275 467.511
0.202984 467.121
0.203219 466.731
0.203453 466.341
0.203688 465.952
0.203922 465.562
0.204156 465.172
0.204391 464.782
0.204625 464.392
0.20486 464.001
0.205094 463.611
0.205328 463.221
0.205563 462.831
0.205797 462.441
0.206032 462.051
0.206266 461.66
0.2065 461.27
0.206735 460.879
0.206969 460.489
0.207204 460.098
0.207438 459.708
0.207672 459.317
0.207907 458.927
0.208141 458.536
0.208375 458.146
0.20861 457.755
0.208844 457.365
0.209079 456.974
0.209313 456.584
0.209547 456.194
0.209782 455.803
0.210016 455.413
0.210251 455.022
0.210485 454.632
0.210719 454.242
0.210954 453.852
0.211188 453.462
0.211423 453.072
0.211657 452.682
0.211891 452.292
0.212126 451.902
0.21236 451.512
0.212595 451.122
0.212829 450.732
0.213063 450.342
0.213298 449.953
0.213532 449.563
0.213767 449.174
0.214001 448.784
0.214235 448.395
0.21447 448.006
0.214704 447.617
0.214938 447.228
0.215173 446.839
0.215407 446.45
